filename,sub_id,snapshot,view,Name,Name_ext,snapshot_n,SubfindID,c_axis,b_axis,a_axis,Name_joined,snapshot_joined,subhalo_id,view_joined,stellar_mass,re_kpc,sample_manga,manga_ifu_dsn,distances_selec,n_star_part,n_gas_cell,type,c/a,c/b,b/a,c_a,b_a
TNG50-92-387097-1-127.cube_maps.fits,387097,92,1,92_387097,92_387097_1,92,387097,0.9761722,2.344191,2.708967,92_387097,92,387097,1,10.867134,4.952212,2,37,0.07211704,1326339,14432,-1,0.3603485018459066,0.4164217847436493,0.865344982054045,0.3603485018459066,0.865344982054045
TNG50-97-32-0-127.cube_maps.fits,32,97,0,97_32,97_32_0,97,32,0.72331923,1.3437074,1.500652,97_32,97,32,0,9.963147,3.4066226,1,91,0.033491112,176100,0,-1,0.4820033092282554,0.5383011435376481,0.8954157259644474,0.4820033092282554,0.8954157259644474
TNG50-96-483683-1-127.cube_maps.fits,483683,96,1,96_483683,96_483683_1,96,483683,1.0815351,2.5276694,2.6819553,96_483683,96,483683,1,10.244397,5.4454336,0,91,0.02095503,291754,100184,1,0.4032636561839789,0.4278783847286357,0.9424726057141968,0.4032636561839789,0.9424726057141968
TNG50-94-572609-0-127.cube_maps.fits,572609,94,0,94_572609,94_572609_0,94,572609,0.92393786,2.2229304,2.7755103,94_572609,94,572609,0,10.522727,4.9385395,-1,37,0.007820348,594822,175710,3,0.3328893645251469,0.4156395809783338,0.8009087193803605,0.33288936452514695,0.8009087193803605
TNG50-94-563361-0-127.cube_maps.fits,563361,94,0,94_563361,94_563361_0,94,563361,2.1265082,9.316027,10.389441,94_563361,94,563361,0,10.387015,20.856907,2,91,0.27704355,411121,692878,-1,0.2046797512974952,0.2282634217354672,0.8966822180327123,0.20467975129749522,0.8966822180327123
TNG50-93-7-0-127.cube_maps.fits,7,93,0,93_7,93_7_0,93,7,1.2557373,2.16645,2.59522,93_7,93,7,0,10.766073,4.9839635,2,61,0.07976288,1069510,0,3,0.4838654526398533,0.5796290244409056,0.8347847195998799,0.4838654526398533,0.8347847195998799
TNG50-96-670812-1-127.cube_maps.fits,670812,96,1,96_670812,96_670812_1,96,670812,0.49364564,0.8593461,0.87726736,96_670812,96,670812,1,9.514858,2.004733,2,37,0.083124205,56845,123629,1,0.5627083173366897,0.5744433354616958,0.9795714957410476,0.5627083173366897,0.9795714957410475
TNG50-90-475817-0-127.cube_maps.fits,475817,90,0,90_475817,90_475817_0,90,475817,0.5551804,0.6749359,0.9145366,90_475817,90,475817,0,10.679199,2.1026697,0,19,0.2701943,1173249,553283,3,0.6070619808983041,0.8225675949375341,0.7380086264453495,0.6070619808983041,0.7380086264453495
TNG50-96-277726-0-127.cube_maps.fits,277726,96,0,96_277726,96_277726_0,96,277726,0.40672976,0.66964954,1.0847001,96_277726,96,277726,0,10.015703,1.9299769,0,19,0.114256464,185116,6568,3,0.3749697819701501,0.6073770468057068,0.6173591576141645,0.3749697819701501,0.6173591576141645
TNG50-96-601053-0-127.cube_maps.fits,601053,96,0,96_601053,96_601053_0,96,601053,1.6139951,3.5551147,3.6588874,96_601053,96,601053,0,10.224471,7.573338,0,37,0.24050465,283600,337154,1,0.4411163623127621,0.4539924126779932,0.9716381815958588,0.4411163623127621,0.9716381815958589
TNG50-93-562940-0-127.cube_maps.fits,562940,93,0,93_562940,93_562940_0,93,562940,0.9551129,1.8731456,2.0663688,93_562940,93,562940,0,10.356178,5.831129,-1,61,0.076979764,472588,281628,1,0.4622180222620474,0.5098978424314693,0.9064914259255172,0.4622180222620474,0.9064914259255173
TNG50-95-598351-0-127.cube_maps.fits,598351,95,0,95_598351,95_598351_0,95,598351,1.8664943,2.6990588,2.7173994,95_598351,95,598351,0,10.261109,6.1659055,2,127,0.025302447,317186,246990,1,0.6868678560832832,0.6915352492505906,0.9932506793075762,0.6868678560832832,0.9932506793075762
TNG50-96-689203-0-127.cube_maps.fits,689203,96,0,96_689203,96_689203_0,96,689203,0.9955816,2.6383169,2.84521,96_689203,96,689203,0,9.312363,5.41345,2,127,0.04311875,33683,133281,1,0.3499149799136092,0.3773548204160008,0.9272837154375247,0.3499149799136092,0.9272837154375249
TNG50-96-586263-1-127.cube_maps.fits,586263,96,1,96_586263,96_586263_1,96,586263,0.7416017,2.2104614,2.4371765,96_586263,96,586263,1,10.325296,5.004125,1,91,0.014055078,354216,407029,1,0.3042872356597891,0.335496335742393,0.9069763310125466,0.3042872356597891,0.9069763310125466
